,logFC,logCPM,LR,PValue,FDR,log_PValue,log_FDR,desc
Tb927.8.150,-0.2191039191545314,-0.5119669413228235,0.2591409915494598,0.6107109201266083,0.6516514222989817,0.2141643143117705,0.18598465251034013,variant surface glycoprotein  degenerate
Tb927.8.230,5.205043908433321,-2.624385070618151,3.4037913794955177,0.0650467491040572,0.0835751114258665,1.186774403659645,1.0779230357152718,expression site-associated gene 3 (ESAG3)  degenerate
Tb927.8.270,-0.5038753012582728,4.1321008881980905,16.543034087755306,4.755836906446154e-05,8.378028556176998e-05,4.322773047208301,4.076858163696814,variant surface glycoprotein  degenerate
Tb927.8.320,-0.23461793800005692,-0.4844254935095222,0.38848288988601176,0.5330979390224564,0.5774425056153362,0.2731929964712932,0.23849125080730046,variant surface glycoprotein  degenerate
Tb927.8.370,1.9377072448755885,-2.5063243209988,0.9190200201957843,0.3377324145789986,0.38352392971172056,0.4714272550376321,0.4162075333642068,expression site-associated gene 3 (ESAG3)  degenerate
Tb927.8.443,-1.4941011155846373,0.7747031910021231,8.578715371579538,0.0034011524106806862,0.005104744136568727,2.468373906251776,2.2920260210327212,M4 ribosomal RNA
Tb927.8.470,-1.1251597584399748,0.8101705002974713,13.534689714545866,0.00023419409941531866,0.0003904320352783015,3.6304240512946095,3.408454555314258,variant surface glycoprotein  degenerate
Tb927.8.480,-0.6693660880366521,4.245789749579529,9.690497822823094,0.0018522335109414792,0.0028547330750789356,2.7323042627293836,2.5444344931763574,phosphatidic acid phosphatase protein  putative
Tb927.8.490,0.37388189703112007,1.8539491708700586,2.2694720901710443,0.13194484044716287,0.1615515920008702,0.8796075877034008,0.7916887578952605,hypothetical protein
Tb927.8.500,-1.5088159793832325,1.1635367577904518,12.814437805054187,0.00034395474709747454,0.0005656834902258042,3.463498692250108,3.2474264961905814,hypothetical protein
Tb927.8.510,-0.047176134560686145,1.12713011294694,0.024429450853970636,0.8757971593296842,0.8954626110704771,0.05759646778678414,0.04795254286326465,hypothetical protein
Tb927.8.520,-1.8737004329120794,3.08986445725975,73.92630224815497,8.108861091300884e-18,2.983339356756032e-17,17.091040139191705,16.525297342553493,hypothetical protein
Tb927.8.530,-0.9120338700415938,6.4260756675770025,111.90460612758733,3.7492273840156675e-26,1.9951047643713551e-25,25.42605821958681,24.700034294266068,leucine-rich repeat protein (LRRP)  point mutation
Tb927.8.540,-0.751108496570884,7.662552757213167,34.56389666235992,4.124862031983351e-09,9.428470304135646e-09,8.384590573114147,8.025558762444202,N-terminal region of Chorein  a TM vesicle-mediated sorter  putative
Tb927.8.550,0.7769987726888065,6.495494412542441,104.09595342170434,1.9275149179413745e-24,9.540767854922062e-24,23.71500225205545,23.020416671235537,peptide methionine sulfoxide reductase  putative
Tb927.8.560,0.21175251080866997,6.330235587056624,10.739586096373152,0.0010486778732134636,0.0016565403356755438,2.979357895381444,2.7807979848662105,hypothetical protein  conserved
Tb927.8.570,0.5646766153381555,7.324599291475216,27.10104475912735,1.9309355846251089e-07,3.9937088008007317e-07,6.714232213899778,6.398623604667088,proteasome regulatory non-ATP-ase subunit 10
Tb927.8.580,0.0825843336375495,5.720907930196237,1.5290991550134336,0.21624769586844045,0.2548601929601924,0.6650485112710233,0.5936979924153074,MICOS complex subunit 40
Tb927.8.590,-0.7467086196237257,6.646424680524101,87.34763859709014,9.102875310050525e-21,3.850125597775338e-20,20.040821406134885,19.414525102821095,carnitine O-palmitoyltransferase  putative
Tb927.8.595,0.23586738019017356,5.650097707093981,9.428490915699577,0.00213640021051671,0.0032727203906233304,2.670317387908367,2.485091097654604,hypothetical protein
Tb927.8.600,-0.003915719310641763,5.655690714931654,0.0025786760140888987,0.9595002974929944,0.9672700201831873,0.017954886275517654,0.014452272653391,Bucentaur or craniofacial development  putative
Tb8.NT.8,-2.1889653180653004,5.00469503116998,217.3862826772305,3.361376495024775e-49,4.2094731407233665e-48,48.47348284112935,47.3757722572273,Noncoding RNA  putative
Tb927.8.610,0.5795807353858666,6.307599587400497,65.52043560720946,5.751447652525954e-16,1.939479265811951e-15,15.24022282863671,14.712314858905682,hypothetical protein  conserved
